sito_pers_1,cognome_nome,twitter_1,sigla_partito,facebook_1,id_deputato
http://www.vittoriosgarbi.it,SGARBI Vittorio,,MISTO,https://www.facebook.com/ufficiostampavittoriosgarbi,34510
http://www.serracchiani.eu,SERRACCHIANI Debora,,PD,https://www.facebook.com/serracchiani,307374
,SERRITELLA Davide,,M5S,,307498
,SEGNERI Enrica,,M5S,https://www.facebook.com/enricasegnerim5s,307488
,SENSI Filippo,https://twitter.com/nomfup,PD,,307266
,SCUTELLA' Elisa,,M5S,,307722
,SCHULLIAN Manfred,,MISTO,,305586
,SCOMA Francesco,https://twitter.com/francesco_scoma,FI,,306483
,SCERRA Filippo,,M5S,https://www.facebook.com/FilippoScerraPortavoceM5S/,307418
,SCHIRO' Angela,,PD,,307149
http://www.ivanscalfarotto.it,SCALFAROTTO Ivan,https://www.twitter.com/ivanscalfarotto,PD,https://www.facebook.com/scalfarotto,305933
http://emanuelescagliusi.blogspot.it/,SCAGLIUSI Emanuele,https://twitter.com/E_Scagliusi,M5S,https://www.facebook.com/ScagliusiEmanueleM5S,305862
,SCANU Lucia,,M5S,,307221
,SAVINO Sandra,,FI,,305684
,SARTI Giulia,,M5S,,305960
,SARRO Carlo,,FI,,303108
,SAVINO Elvira,,FI,,302882
,SASSO Rossano,,LEGA,,307360
,SAPIA Francesco,,M5S,,307563
,SANTELLI Jole,,FI,,300306
,SARLI Doriana,,M5S,https://www.facebook.com/DorianaSarliM5S,307191
,SANGREGORIO Eugenio,,MISTO,https://www.facebook.com/people/Eugenio-Sangregorio/100008202276543,307157
,SALTAMARTINI Barbara,https://twitter.com/bsaltamartini,LEGA,https://www.facebook.com/barbarasaltamartini,302914
,SALAFIA Angela,,M5S,,307439
http://www.eugeniosaitta.it,SAITTA Eugenio,,M5S,https://www.facebook.com/EugenioSaittaM5S,307124
,SACCANI JOTTI Gloria,,FI,,307659
http://www.paolorusso.it,RUSSO Paolo,,FI,https://www.facebook.com/paolorusso1960,50213
,RUSSO Giovanni,,M5S,,307553
,RUOCCO Carla,,M5S,https://www.facebook.com/M5Scarlaruocco,305796
,RUGGIERI Andrea,,FI,,307422
,RUGGIERO Francesca Anna,,M5S,,307289
http://www.danielaruffino.it,RUFFINO Daniela,https://twitter.com/danielaruffino2,FI,https://www.facebook.com/daniela.ruffinosecondoprofilo,307478
,ROTONDI Gianfranco,https://twitter.com/grotondi,FI,https://www.facebook.com/gianfrarotondi/,38560
