sito_pers_1,cognome_nome,twitter_1,sigla_partito,facebook_1,id_deputato
http://www.riccardofraccaro.IT,FRACCARO Riccardo,https://twitter.com/riccardo_fra,M5S,https://www.facebook.com/riccardofraccaroM5S,305595
http://www.francescoforciniti.it,FORCINITI Francesco,,M5S,https://www.facebook.com/FrancescoForcinitiM5S,307720
,FONTANA Lorenzo,,LEGA,,307591
,FORMENTINI Paolo,,LEGA,,307602
http://www.gregoriofontana.it,FONTANA Gregorio,,FI,,300439
,FONTANA Ilaria,https://twitter.com/ilariafontana5s,M5S,https://it-it.facebook.com/ilaria.fontana.m5s/,307459
,FOGLIANI Ketty,,LEGA,https://www.facebook.com/ketty.fogliani,307687
,FLATI Francesca,https://twitter.com/francesca_flati,M5S,https://www.facebook.com/francesca.flati/,307445
http://fucsiafitzgeraldnissoli.com/,FITZGERALD NISSOLI Fucsia,https://twitter.com/fucsiaUSA,FI,,306251
,FIORINI Benedetta,https://twitter.com/bennyfiorini,FI,https://www.facebook.com/OnBenedettaFiorini/,307284
,FIDANZA Carlo,https://twitter.com/fidanzacarlo,FDI,https://www.facebook.com/fidanzacarlo,307670
http://www.lorenzofioramonti.org,FIORAMONTI Lorenzo,https://twitter.com/lofioramonti,M5S,https://www.facebook.com/lorenzofioramonti1977/,307450
,FICARA Paolo,,M5S,https://www.facebook.com/paoloficaraM5S,307125
http://www.robertofico.it,FICO Roberto,https://twitter.com/roberto_fico,Presidente della Camera,https://www.facebook.com/roberto.fico.5,305890
,FIANO Emanuele,,PD,,301452
,FERRO Wanda,,FDI,https://www.facebook.com/wanda.ferro.3,307567
,FERRI Cosimo Maria,,PD,,306549
http://www.vittorioferraresi.net,FERRARESI Vittorio,,M5S,,305972
,FERRAIOLI Marzia,https://twitter.com/marferraioli,FI,https://it-it.facebook.com/MarziaFerraiolideputato/,307539
,FERRARI Roberto Paolo,,LEGA,https://it-it.facebook.com/robertoferrarisindaco/,307620
,FEDERICO Antonio,,M5S,,307278
,FATUZZO Carlo,,FI,,307626
http://www.stefanofassina.it,FASSINA Stefano,,LEU,,305806
,FASSINO Piero,,PD,,36500
http://www.enzofasano.com,FASANO Vincenzo,,FI,,300328
,FASCINA Marta Antonia,,FI,,307185
,FANTUZ Marica,,LEGA,https://it-it.facebook.com/fantuz.marica/,307690
,FARO Marialuisa,https://twitter.com/MarialuisaFaro,M5S,https://it-it.facebook.com/marialuisafarom5s/,307346
,ERMELLINO Alessandra,,M5S,https://www.facebook.com/alessandra.ermellino.puglia,307350
http://www.guglielmoepifani.it/,EPIFANI Ettore Guglielmo,https://twitter.com/gu_epifani,LEU,https://it-it.facebook.com/GuglielmoEpifani.it/,305837
,EMILIOZZI Mirella,,M5S,https://www.facebook.com/mirella.emiliozzi68,307127
,DURIGON Claudio,,LEGA,,307468
,D'ORSO Valentina,,M5S,,307388
,EHM Yana Chiara,,M5S,,307264
,DORI Devis,,M5S,,307634
,DONNO Leonardo,,M5S,https://www.facebook.com/LeonardoDonnoPortavoceM5S,307348
,DONINA Giuseppe Cesare,,LEGA,,307618
http://www.manliodistefano.it/,DI STEFANO Manlio,https://twitter.com/ManlioDS,M5S,https://www.facebook.com/ManlioDiStefano,306228
http://www.giovannidonzelli.it,DONZELLI Giovanni,,FDI,https://www.facebook.com/votadonzelli,307246
,DI STASIO Iolanda,,M5S,,307200
,DI SARNO Gianfranco,,M5S,https://it-it.facebook.com/gianfrancodisarnocandidato/,307195
http://www.federicodinca.it/,D'INCA' Federico,https://twitter.com/FedericoDinca,M5S,https://it-it.facebook.com/federicodincam5s/,305674
http://www.votepelacidadaniaitaliana.com,DI SAN MARTINO LORENZATO DI IVREA Luis Roberto,,LEGA,https://www.facebook.com/votepelacidadaniaitaliana,307159
,DI MURO Flavio,,LEGA,https://www.facebook.com/flavio.d.muro,307527
http://www.marcodimaio.info,DI MAIO Marco,,PD,,305850
http://luigidimaio.it,DI MAIO Luigi,https://twitter.com/luigidimaio,M5S,https://www.facebook.com/luigidimaio,305892
,DI LAURO Carmen,,M5S,,307210
,D'IPPOLITO Giuseppe,https://twitter.com/pinodippo,M5S,https://www.facebook.com/gdippolito,307565
,D'ETTORE Felice Maurizio,,FI,https://www.facebook.com/fmdettore,307141
,DI GIORGI Rosa Maria,,PD,,306383
http://www.federicadieni.it,DIENI Federica,,M5S,,306120
,DE TOMA Massimiliano,,M5S,https://it-it.facebook.com/maxdetoma.m5s/,307427
,D'ERAMO Luigi,,LEGA,https://www.facebook.com/deramoaq,307242
http://www.rogerdemenech.it,DE MENECH Roger,,PD,,305656
http://www.paolademicheli.it,DE MICHELI Paola,,PD,,302856
,DE MARTINI Guido,,LEGA,,307217
,DEL SESTO Margherita,,M5S,,307551
,DE LUCA Piero,,PD,,307561
,DELRIO Graziano,,PD,,306540
,DEL RE Emanuela Claudia,,M5S,,307437
,DEL MONACO Antonio,,M5S,,307520
,DE LORENZO Rina,,M5S,https://www.facebook.com/rinadelorenzo5stelle,307192
,DELLA FRERA Guido,,FI,,307644
http://www.andreadelmastro.com/,DELMASTRO DELLE VEDOVE Andrea,https://twitter.com/delmastroandrea?lang=it,FDI,https://it-it.facebook.com/andreadelmastrofdi/,307479
http://www.diegodelorenzis.it,DE LORENZIS Diego,,M5S,,305848
,DEL BASSO DE CARO Umberto,,PD,,32910
,DEL GROSSO Daniele,,M5S,,306062
http://www.maurodelbarba.it,DEL BARBA Mauro,https://twitter.com/emmedibi,PD,https://www.facebook.com/Sen.MauroDelBarba,306382
,DE GIORGI Rosalba,,M5S,,307366
,DEIDDA Salvatore,,FDI,https://www.facebook.com/SassoFdi,307219
,DE FILIPPO Vito,,PD,,306663
,DEIANA Paola,,M5S,,307227
,DE GIROLAMO Carlo Ugo,,M5S,https://www.facebook.com/carlodegirolamo.m5s,307293
,DE CARLO Luca,,FDI,,307708
,DE CARLO Sabrina,,M5S,https://www.facebook.com/DeCarloSabrina.M5S,307380
http://maurodattis.it,D'ATTIS Mauro,,FI,https://www.facebook.com/MauroDattis,307312
,D'ARRANDO Celeste,,M5S,,307472
http://www.saradeangelis.it,DE ANGELIS Sara,,LEGA,,307432
,DARA Andrea,,LEGA,,307683
http://www.matteodallosso.org,DALL'OSSO Matteo,https://www.twitter.com/matteodallosso,FI,https://www.facebook.com/matteodallossom5s,305967
,D'AMBROSIO Giuseppe,,M5S,,305838
http://WWW.CAMILLODALESSANDRO.IT,D'ALESSANDRO Camillo,https://WWW.TWITTER.COM/DALESSANDROCAM,PD,https://www.facebook.com/DalessandroC,307244
http://www.giannidalmoro.it,DAL MORO Gian Pietro,,PD,,302832
http://www.federicadaga.net,DAGA Federica,,M5S,,305773
,CURRO' Giovanni,,M5S,https://www.facebook.com/Giovanni.Curro.M5S,307610
http://www.fabianadadone.it,DADONE Fabiana,,M5S,,306020
,CUBEDDU Sebastiano,,M5S,,307440
,CROSETTO Guido,,FDI,,300356
,CUNIAL Sara,,M5S,,307595
,CRITELLI Francesco,,PD,,307282
http://www.mirellacristina.com,CRISTINA Mirella,,FI,https://www.facebook.com/OnMirellaCristina,307460
http://www.crippadavide.it,CRIPPA Davide,,M5S,https://www.facebook.com/davide.crippa.m5s,306022
,CRIPPA Andrea,,LEGA,,307639
,COSTANZO Jessica,,M5S,,307490
,CORTELAZZO Piergiorgio,,FI,,307580
,COSTA Enrico,,FI,,301541
,COVOLO Silvia,,LEGA,https://it-it.facebook.com/silvia.covolo,307582
,CORNELI Valentina,,M5S,,307236
,CONTE Federico,,LEU,,307541
http://www.claudiocominardi.it,COMINARDI Claudio,https://twitter.com/cla_cominardi,M5S,https://www.facebook.com/claudio.cominardi.m5s,305520
,CORDA Emanuela,,M5S,https://www.facebook.com/manu5stelle,306031
,COMAROLI Silvana Andreina,,LEGA,,302764
,COLUCCI Alessandro,,MISTO,,307603
,COMENCINI Vito,,LEGA,https://www.facebook.com/vito.comencini,307579
,COLMELLERE Angela,,LEGA,,307698
http://www.andreacolletti.it,COLLETTI Andrea,,M5S,https://www.facebook.com/AndreaCollettiM5S,306060
,COLLA Jari,,LEGA,https://www.facebook.com/jari.colla,307640
http://www.matteocolaninno.it,COLANINNO Matteo,,PD,,302744
,COIN Dimitri,,LEGA,,307688
http://www.edmondocirielli.it,CIRIELLI Edmondo,,FDI,,300319
http://www.tizianaciprini.it,CIPRINI Tiziana,https://twitter.com/TiziCip,M5S,https://www.facebook.com/tiziana.ciprini,305694
,CILLIS Luciano,,M5S,,307165
http://www.luciaciampi.it,CIAMPI Lucia,,PD,,307258
,CIABURRO Monica,,FDI,,307511
,CIMINO Rosalba,,M5S,https://it-it.facebook.com/rosalbaciminoM5S/,307398
,CESTARI Emanuele,,LEGA,,307283
,CENTEMERO Giulio,,LEGA,,307632
http://www.susannacenni.it,CENNI Susanna,https://twitter.com/susannacenni,PD,,302943
,CHIAZZESE Giuseppe,,M5S,https://it-it.facebook.com/GiuseppeChiazzeseOfficialPage/,307117
,CECCONI Andrea,,MISTO,,305787
http://www.fabriziocecchetti.net,CECCHETTI Fabrizio,https://twitter.com/FabriCecchetti,LEGA,https://www.facebook.com/FabriCecchetti/,307680
http://www.stefanoceccanti.it,CECCANTI Stefano,,PD,,303038
,CAVANDOLI Laura,,LEGA,,307285
,CATTANEO Alessandro,,FI,https://www.facebook.com/alessandro.cattaneoii,307657
,CATTOI Maurizio,,M5S,,307129
,CATTOI Vanessa,,LEGA,,307716
,CATALDI Roberto,,M5S,,307126
,CASTIELLO Giuseppina,,LEGA,,301573
http://www.lacastelli.it,CASTELLI Laura,,M5S,,305525
,CASSINELLI Roberto,,FI,https://www.facebook.com/robertocassinelli,302949
http://www.gianpaolocassese.it,CASSESE Gianpaolo,,M5S,https://www.facebook.com/gianpaolocassesem5s,307367
,CASO Andrea,,M5S,https://www.facebook.com/Andrea.Caso.Portavoce,307194
,CASCIELLO Luigi,,FI,https://www.facebook.com/gigicasciellosalerno,307543
,CASINO Michele,,FI,,307169
http://www.vittoriacasa.it/,CASA Vittoria,https://twitter.com/v_casa_camera,M5S,https://www.facebook.com/1VittoriaCasa/,307116
,CARRARA Maurizio,,FI,,307140
http://www.elenacarnevali.it,CARNEVALI Elena,https://twitter.com/elenacarnevali,PD,https://www.facebook.com/CarnevaliElena,305539
,CARINELLI Paola,,M5S,,306222
,CARETTA Maria Cristina,,FDI,https://www.facebook.com/MariaCristinaCaretta,307573
,CARFAGNA Maria Rosaria,https://twitter.com/mara_carfagna,FI,https://www.facebook.com/CarfagnaMara/,301531
,CARE' Nicola,,PD,,307161
http://www.emiliocarelli.it,CARELLI Emilio,https://twitter.com/emiliocarelli,M5S,https://www.facebook.com/emiliocarellipaginaufficiale/,307433
,CARDINALE Daniela,,PD,,302881
,CARABETTA Luca,,M5S,,307500
,CARBONARO Alessandra,https://twitter.com/alecarbonaroM5S,M5S,https://www.facebook.com/alessandracarbonaroM5S/,307318
,CAPPELLANI Santi,,M5S,https://it-it.facebook.com/santicappellaniM5S/,307414
http://www.ugocappellacci.net,CAPPELLACCI Ugo,,FI,,307215
,CAPITANIO Massimiliano,,LEGA,,307685
,CAPARVI Virginio,,LEGA,https://it-it.facebook.com/virginiocaparvionlega/,307420
,CAON Roberto,,FI,,305632
,CANTONE Luciano,,M5S,,307416
,CANTINI Laura,,PD,,306350
,CANTALAMESSA Gianluca,,LEGA,https://it-it.facebook.com/gianluca.cantalamessa.14/,307545
,CANNIZZARO Francesco,,FI,https://www.facebook.com/francesco.cannizzaro.543,307568
,CANNATELLI Pasquale,,FI,,307666
http://www.azzurracancelleri.it/,CANCELLERI Azzurra Pia Maria,https://twitter.com/Azzurra_C,M5S,https://www.facebook.com/AzzurraCancelleri,306050
,CAMPANA Micaela,,PD,,305810
,CANTONE Carla,,PD,,307320
,CALABRIA Annagrazia,https://twitter.com/CalabriaTw,FI,https://www.facebook.com/annagrazia.calabria,303200
http://salvatorecaiata.it/#home,CAIATA Salvatore,,MISTO,https://it-it.facebook.com/SalvatoreCaiataBasilicata/,307162
,CAFFARATTO Gualtiero,,LEGA,https://www.facebook.com/caffarattogualtiero,307506
http://www.pinocabras.it,CABRAS Pino,,M5S,https://www.facebook.com/PinoCabrasM5S,307108
,BUTTI Alessio,,FDI,,32500
http://www.francescabusinarolo.it,BUSINAROLO Francesca,,M5S,https://www.facebook.com/M5SFrancescaBusinarolo,305602
,BURATTI Umberto,,PD,,308021
,BUOMPANE Giuseppe,,M5S,,307523
,BUFFAGNI Stefano,https://twitter.com/sbuffagni,M5S,https://it-it.facebook.com/sbuffagni/,307661
,BUCALO Carmela,,FDI,,307412
,BUBISUTTI Aurelia,,LEGA,,307981
http://www.enzabrunobossio.it,BRUNO BOSSIO Vincenza,https://twitter.com/@enzabrunobossio,PD,https://www.facebook.com/brunobossioenza/,306134
,BRUNO Raffaele,,M5S,,307193
http://www.renatobrunetta.it,BRUNETTA Renato,,FI,,302875
http://www.giuseppebrescia.it,BRESCIA Giuseppe,https://twitter.com/g_brescia,M5S,https://www.facebook.com/GiuseppeBresciaM5S,305852
,BRAMBILLA Michela Vittoria,,FI,,302838
http://www.chiarabraga.it,BRAGA Chiara,https://twitter.com/bragachiara,PD,https://www.facebook.com/bragachiara/,302754
http://www.e-borghi.it,BORGHI Enrico,https://twitter.com/EnricoBorghi1,PD,https://www.facebook.com/enrico.borghi.3,305999
,BOSCHI Maria Elena,,PD,,306160
http://www.marioborghese.com,BORGHESE Mario Alejandro,https://twitter.com/marioborgheseok,MISTO,https://www.facebook.com/mario.borghese.33,306249
http://www.michelebordo.it,BORDO Michele,,PD,,301561
,BOND Dario,,FI,,307702
,BONIARDI Fabio Massimo,,LEGA,,307682
,BONAFEDE Alfonso,https://twitter.com/alfonsobonafede,M5S,https://www.facebook.com/Alfonso.Bonafede.M5S,306087
,BORDONALI Simona,,LEGA,,307601
,BOLOGNA Fabiola,,M5S,,307607
,BOLDRINI Laura,,LEU,,305757
,BOLDI Rossana,,LEGA,,300506
http://www.francescoboccia.com,BOCCIA Francesco,,PD,,302892
http://www.bitonci.it,BITONCI Massimo,https://twitter.com/@massimobitonci,LEGA,https://www.facebook.com/massimobitonci/,302824
,BISA Ingrid,,LEGA,,307689
,BIANCHI Matteo Luigi,,LEGA,,307599
,BILOTTI Anna,,M5S,,307557
,BERTI Francesco,,M5S,https://www.facebook.com/francesco.berti.5s,307256
,BINELLI Diego,,LEGA,,307712
http://www.galeazzobignami.it,BIGNAMI Galeazzo,,FI,,307298
http://www.simonebilli.eu,BILLI Simone,,LEGA,https://www.facebook.com/simone.billi.509,307151
,BIANCOFIORE Michaela,,FI,https://www.facebook.com/michaela.biancofiore,302124
http://www.marinaberlinghieri.it,BERLINGHIERI Marina,,PD,,305555
,BERSANI Pier Luigi,,LEU,,300026
http://www.deborahbergamini.it,BERGAMINI Deborah,,FI,,302867
http://www.alessandrobenvenuto.com,BENVENUTO Alessandro Manuel,https://twitter.com/alebenvenuto,LEGA,https://www.facebook.com/benvenutoalessandro,307471
,BENIGNI Stefano,,FI,https://www.facebook.com/benignistefano,307604
,BENEDETTI Silvia,,MISTO,https://www.facebook.com/SilviaBenedettiM5S,305604
,BERARDINI Fabio,,M5S,https://it-it.facebook.com/fabioberardinim5s/,307238
,BENDINELLI Davide,,FI,,307583
,BELOTTI Daniele,,LEGA,https://www.facebook.com/daniele.belotti.79,307605
http://www.gianlucabenamati.it,BENAMATI Gianluca,,PD,,302854
http://www.mariateresabellucci.it,BELLUCCI Maria Teresa,https://twitter.com/maresabellucci,FDI,https://www.facebook.com/mariateresabellucci.official,307426
,BELLACHIOMA Giuseppe Ercole,,LEGA,https://www.facebook.com/GiuseppeBellachiomaLega/,307240
http://www.alfredobazoli.it,BAZOLI Alfredo,,PD,,305547
,BAZZARO Alex,https://www.twitter.com/AlexBazzaro,LEGA,https://www.facebook.com/alex.bazzaro,307696
,BELLA Marco,,M5S,,307429
http://www.battilocchio.com,BATTILOCCHIO Alessandro,,FI,https://it-it.facebook.com/alessandro.battilocchio,307456
http://sergiobattelli.it,BATTELLI Sergio,https://twitter.com/battellisergio,M5S,https://www.facebook.com/sergiobattelli.m5s,305715
,BASINI Giuseppe,,LEGA,,200049
http://www.giusibartolozzi.it/,BARTOLOZZI Giusi,https://twitter.com/giusibartolozzi,FI,https://it-it.facebook.com/GiusiBartolozziPA/,307404
,BARZOTTI Valentina,,M5S,https://www.facebook.com/ValentinaBarzottiMovimento5Stelle/,308001
http://www.massimoenricobaroni.it,BARONI Massimo Enrico,https://twitter.com/m5s_baroni,M5S,https://www.facebook.com/MassimoEnricoBaroni,305800
,BARELLI Paolo,,FI,,300497
,BARONI Anna Lisa,https://twitter.com/annalisabaroni?lang=it,FI,https://www.facebook.com/annalisabaroniforzaitalia,307655
,BARBUTO Elisabetta Maria,,M5S,https://it-it.facebook.com/elisabetta.maria.barbuto/,307566
,BARATTO Raffaele,,FI,,307692
,BALDINO Vittoria,,M5S,,307435
http://www.simonebaldelli.it,BALDELLI Simone,https://twitter.com/simonebaldelli?lang=it,FI,https://www.facebook.com/simonebaldelli.it,302089
,BAGNASCO Roberto,,FI,,307134
http://www.massimoungaro.eu,UNGARO Massimo,,PD,https://www.facebook.com/massimoungaro.eu/,307147
,VOLPI Raffaele,,LEGA,,302770
,VOLPI Leda,,M5S,https://www.facebook.com/Leda-Volpi-189955088404963/,307519
http://www.gianlucavacca.it/,VACCA Gianluca,,M5S,https://www.facebook.com/gianlucavaccaM5s,306058
,VITO Elio,https://twitter.com/elio_vito,FI,,34730
,VIZZINI Gloria,,M5S,,307252
,VITIELLO Catello,,MISTO,https://www.facebook.com/lellovitielloDeputato/,307196
,VIVIANI Lorenzo,,LEGA,https://www.facebook.com/loriviviani,307533
http://www.antonioviscomi.it/,VISCOMI Antonio,https://twitter.com/a_viscomi,PD,https://www.facebook.com/ViscomiAntonio/,307730
,VINCI Gianluca,,LEGA,,307334
,VILLAROSA Alessio Mattia,,M5S,https://www.facebook.com/Alessio-Villarosa-432710136804455,306091
,VILLANI Virginia,,M5S,,307536
,VIANELLO Giovanni,https://twitter.com/VianelloGio,M5S,https://www.facebook.com/giovanni.vianello.puglia,307358
http://www.stefanovignaroli.it,VIGNAROLI Stefano,,M5S,,305798
,VIETINA Simona,,FI,,307277
http://www.giusyversace.it,VERSACE Giuseppina,,FI,,307598
,ZUCCONI Riccardo,,FDI,,307142
,ZORDAN Adolfo,,LEGA,https://www.facebook.com/ZordanAdolfo/,307578
,ZOLEZZI Alberto,,M5S,https://www.facebook.com/albertozolezzim5s,305598
,ZOFFILI Eugenio,https://www.twitter.com/eugenio_zoffili,LEGA,https://www.facebook.com/e.zoffili,307616
,ZIELLO Edoardo,,LEGA,https://www.facebook.com/edoardo.ziello.9,307143
,ZICCHIERI Francesco,,LEGA,https://it-it.facebook.com/zicchieriofficial/,307458
http://www.diegozardini.it,ZARDINI Diego,https://twitter.com/diegozardini,PD,https://www.facebook.com/diego.zardini.9,305640
,ZANICHELLI Davide,,M5S,https://www.facebook.com/davidezanichelliportavoce,307326
http://www.antoniozennaro.it,ZENNARO Antonio,,M5S,,307231
,ZANETTIN Pierantonio,,FI,,300271
,ZANELLA Federica,https://twitter.com/federicazanella,FI,,307650
,ZANGRILLO Paolo,,FI,https://it-it.facebook.com/PaoloZangrilloforzaitalia/,307492
,ZAN Alessandro,https://twitter.com/ZanAlessandro,PD,https://www.facebook.com/alessandro.zan,306272
,VERINI Walter,,PD,,302774
http://www.francovazio.it/,VAZIO Franco,https://twitter.com/francovazio,PD,https://www.facebook.com/franco.vazio.7,305735
,VARRICA Adriano,,M5S,,307386
http://www.carolinavarchi.it,VARCHI Maria Carolina,,FDI,,307400
,VALLOTTO Sergio,,LEGA,,307694
,VALENTINI Valentino,,FI,,301559
http://simonevalente.it,VALENTE Simone,https://twitter.com/Valentem5s,M5S,https://www.facebook.com/simonevalente.m5s,305717
,VALBUSA Vania,,LEGA,,307587
http://www.andreavallascas.it/,VALLASCAS Andrea,https://twitter.com/AndreaVallascas,M5S,https://www.facebook.com/AndreaVallascasM5S,306034
